preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
192679;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;1;0;0;40
1000000;INDETERMINADO;Casa;Orlando Brizolara Azevedo;Pelotas RS;4;2;3;310
295000;CENTRO;Apartamento;Rua Goncalves Chaves;Pelotas RS;2;0;1;97
225000;LARANJAL;Terreno Padrao;Avenida Adolfo Fetter;Pelotas RS;;0;0;400
150000;TRES VENDAS;Casa de Condominio;Endereco Nao Informado;Pelotas RS;2;0;0;64
180000;FRAGATA;Casa;Doutor Luiz Pereira Lima;Pelotas RS;2;0;1;95
540000;CENTRO;Apartamento;;Pelotas RS;4;1;1;204
520000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;1;1;150
870000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;0;1;214
110000;CENTRO;Apartamento;;Pelotas RS;1;0;1;45
150000;AREAL;Casa;;Pelotas RS;2;0;1;55
90000;TRES VENDAS;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;175
320000;FRAGATA;Casa;;Pelotas RS;3;0;1;183
240000;FRAGATA;Casa;Rua Allan Kardec;Pelotas RS;2;0;1;127
680000;CENTRO;Casa;Rua Goncalves Chaves;Pelotas RS;6;2;1;160
430000;TRES VENDAS;Casa;Luiz Cosme;Pelotas RS;2;1;3;140
850000;Santa Terezinha;Predio Inteiro;Avenida 25 de Julho;Pelotas RS;;0;0;357
360000;RECANTO DE PORTUGAL;Casa;Rua Vila do Conde;Pelotas RS;3;1;2;100
880000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;1;1;160
265000;AREAL;Terreno Padrao;Proximo Condominio Bandeirantes;Pelotas RS;;0;0;
83000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;187
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;49
215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
199900;CENTRO;Apartamento;;Pelotas RS;1;1;1;56
320000;CENTRO;Apartamento;;Pelotas RS;2;0;1;97
