preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
270000;TRES VENDAS;Casa;Rua Olegario Mariano;Pelotas RS;3;0;1;50
200000;LARANJAL;Terreno Padrao;Jaguarao 1224;Pelotas RS;;0;0;432
1100000;CENTRO;Apartamento;Felix Xavier da Cunha;Pelotas RS;4;1;2;210
128000;LARANJAL;Casa;Rua Panambi;Pelotas RS;2;0;1;70
750000;AREAL;Casa;;Pelotas RS;6;1;3;210
200000;FRAGATA;Casa;Januario Coelho da Costa;Pelotas RS;2;0;1;120
850000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;370
190000;CENTRO;Apartamento;Rua Gal Teles;Pelotas RS;1;0;0;50
950000;Distrito Industrial;Terreno Padrao;Br116;Pelotas RS;;0;0;
280000;CENTRO;Apartamento;Rua Mal Deodoro;Pelotas RS;2;0;1;80
320000;CENTRO;Apartamento;Rua Gal Argolo;Pelotas RS;2;0;1;65
680000;CENTRO;Casa Comercial;Rua Mal Deodoro;Pelotas RS;;0;0;101
850000;CENTRO;Casa;;Pelotas RS;2;0;0;166
290000;RECANTO DE PORTUGAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;5;179
300000;CENTRO;Casa;Conde de Porto Alegre;Pelotas RS;4;1;3;
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;0;0;49
400000;AREAL;Terreno Padrao;Rua Candido Portinari;Pelotas RS;;0;0;67
320000;Arco Iris;Casa;Arco-Iris;Pelotas RS;2;0;2;134
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
636000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;0;0;202
450000;LARANJAL;Casa;Rua Montenegro;Pelotas RS;5;1;1;350
190000;CENTRO;Apartamento;;Pelotas RS;1;0;0;68
450000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;1;0;93
185000;AREAL;Apartamento;;Pelotas RS;2;0;1;48
190000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
70000;TRES VENDAS;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;175
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;1;0;49
218000;AREAL;Casa;Rua Pracinha Hortencio Rosa;Pelotas RS;1;0;4;150
190000;FRAGATA;Casa;Rua Barao dos Santos Abreu;Pelotas RS;2;0;1;118
148000;TRES VENDAS;Apartamento;;Pelotas RS;2;0;0;48
957000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;2;0;450
580000;CENTRO;Apartamento;Argolo;Pelotas RS;3;1;2;145
395000;TRES VENDAS;Apartamento;;Pelotas RS;2;1;1;82
130000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
560000;AREAL;Apartamento;Rua Felipe dos Santos;Pelotas RS;3;1;2;140
320000;LARANJAL;Terreno Padrao;Avenida Espirito Santo;Pelotas RS;;0;0;
350000;LARANJAL;Casa;Rua Esteio;Pelotas RS;2;0;1;174
371000;LARANJAL;Casa;;Pelotas RS;2;0;3;174
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
370000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;130
350000;FRAGATA;Casa;Rua Jose Lins do Rego;Pelotas RS;3;0;2;161
180000;AREAL;Casa;Rua Rafael Pinto Bandeira;Pelotas RS;2;0;0;70
480000;CENTRO;Casa;;Pelotas RS;2;1;2;160
260000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;0;2;190
318000;AREAL;Casa;Rua Dr Francisco Ribeiro da Silva;Pelotas RS;3;0;1;190
310000;TRES VENDAS;Casa de Condominio;Avenida 25 de Julho;Pelotas RS;3;1;2;80
180000;RECANTO DE PORTUGAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;336
180000;TRES VENDAS;Casa de Condominio;Rua Santiago Dantas;Pelotas RS;2;0;1;67
950000;LARANJAL;Casa;Sarandi;Pelotas RS;5;1;6;284
5325000;LARANJAL;Pousada/Chale;Endereco Nao Informado;Pelotas RS;17;17;17;1
140000;AREAL;Casa;Avenida Dr Guilherme Minssen;Pelotas RS;2;0;1;36
530000;RECANTO DE PORTUGAL;Casa;Rua Oliveira de Azemeis;Pelotas RS;3;1;1;129
850000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;0;0;200
509775;Zona Norte;Conjunto Comercial/Sala;Dom Joaquim;Pelotas RS;;0;0;74
700000;TRES VENDAS;Casa;;Pelotas RS;3;1;3;210
145000;AREAL;Apartamento;R Elgar Carlos Hadler;Pelotas RS;1;0;1;60
350000;PORTO;Apartamento;Rua Dona Mariana;Pelotas RS;2;0;1;80
1550000;CENTRO;Casa;Pinto Martins;Pelotas RS;4;1;0;400
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
450000;CENTRO;Casa;;Pelotas RS;4;1;1;240
300000;CENTRO;Casa;Rua Gal Teles;Pelotas RS;2;0;0;104
190000;TRES VENDAS;Apartamento;Rua Miguel Tarnac da Rocha;Pelotas RS;2;0;1;61
318000;PORTO;Apartamento;Rua Dona Mariana;Pelotas RS;2;0;1;104
280000;AREAL;Casa;Proximo Ginasio do Areal;Pelotas RS;3;1;2;61
255000;LARANJAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;419
185000;CENTRO;Apartamento;Rua Gal Argolo;Pelotas RS;1;0;0;29
398000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;1500
195000;CENTRO;Apartamento;Rua 7 de Setembro;Pelotas RS;1;0;1;60
580000;TRES VENDAS;Predio Inteiro;Professor Mario Peiruque;Pelotas RS;;0;1;120
180000;LARANJAL;Casa;Rua Sobradinho;Pelotas RS;2;0;0;67
900000;Distrito Industrial;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;34000
270000;FRAGATA;Casa;;Pelotas RS;2;1;1;140
300000;CENTRO;Apartamento;Andrade Neves;Pelotas RS;1;0;0;57
495000;Fatima;Casa;;Pelotas RS;3;0;2;233
2500000;TRES VENDAS;Terreno Padrao;;Pelotas RS;;0;0;
150000;TRES VENDAS;Casa de Condominio;Endereco Nao Informado;Pelotas RS;2;0;0;64
1590000;Zona Norte;Terreno Padrao;Proximo Parafusos Santa Rita;Pelotas RS;;0;0;
400000;CENTRO;Apartamento;;Pelotas RS;2;1;1;119
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
270000;CENTRO;Apartamento;Imediacoes Escola Adventista;Pelotas RS;2;0;1;90
985000;CENTRO;Casa;Rua Alm Barroso;Pelotas RS;3;1;2;240
175000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;
370000;CENTRO;Casa;;Pelotas RS;3;0;0;85
190000;CENTRO;Apartamento;;Pelotas RS;1;1;0;35
480000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;5;0;0;115
203000;Navegantes;Casa;Rio Grande;Pelotas RS;3;1;1;169
820000;TRES VENDAS;Predio Inteiro;Vinte e Cinco de Julho;Pelotas RS;3;1;5;2000
190000;CENTRO;Apartamento;Rua Mal Deodoro;Pelotas RS;1;0;1;40
370000;PORTO;Casa;Rua Tres de Maio;Pelotas RS;4;1;3;253
176000;LARANJAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;400
150000;TRES VENDAS;Casa;Santiago Dantas;Pelotas RS;2;0;1;45
320000;CENTRO;Apartamento;Rua 15 de Novembro;Pelotas RS;2;0;1;86
850000;LARANJAL;Casa;Avenida Adolfo Fetter;Pelotas RS;3;1;2;234
260000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
300000;TRES VENDAS;Casa;Avenida Guadalajara;Pelotas RS;2;0;3;125
300000;CENTRO;Casa;Santa Cruz;Pelotas RS;3;1;0;
490000;CENTRO;Casa;;Pelotas RS;3;2;0;270
590000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;1;196
